Date,Open,High,Low,Close,Adj Close,Volume
1986-12-01,10.000000,10.020000,9.940000,9.940000,1.749888,0
1987-01-01,9.970000,10.050000,9.970000,10.000000,1.760450,0
1987-02-01,9.980000,10.000000,9.930000,9.990000,1.770896,0
1987-03-01,9.990000,10.000000,9.860000,9.860000,1.759179,0
1987-04-01,9.840000,9.850000,9.420000,9.470000,1.700858,0
1987-05-01,9.440000,9.440000,9.220000,9.360000,1.694585,0
1987-06-01,9.390000,9.490000,9.300000,9.420000,1.718641,0
1987-07-01,9.430000,9.470000,9.340000,9.340000,1.717326,0
1987-08-01,9.280000,9.360000,9.200000,9.200000,1.704194,0
1987-09-01,9.200000,9.200000,8.920000,8.920000,1.664650,0
1987-10-01,8.930000,9.170000,8.760000,9.160000,1.723518,0
1987-11-01,9.130000,9.240000,9.130000,9.160000,1.737154,0
1987-12-01,9.150000,9.220000,9.040000,9.200000,1.756935,0
1988-01-01,9.230000,9.450000,9.160000,9.450000,1.826295,0
1988-02-01,9.470000,9.520000,9.440000,9.500000,1.842765,0
1988-03-01,9.500000,9.510000,9.310000,9.320000,1.819740,0
1988-04-01,9.280000,9.330000,9.200000,9.200000,1.810116,0
1988-05-01,9.180000,9.190000,9.050000,9.050000,1.793953,0
1988-06-01,9.110000,9.270000,9.110000,9.220000,1.840137,0
1988-07-01,9.230000,9.230000,9.090000,9.110000,1.832613,0
1988-08-01,9.120000,9.170000,9.010000,9.060000,1.835871,0
1988-09-01,9.060000,9.200000,9.060000,9.190000,1.875925,0
1988-10-01,9.200000,9.260000,9.190000,9.260000,1.904288,0
1988-11-01,9.270000,9.270000,9.070000,9.110000,1.886552,0
1988-12-01,9.120000,9.130000,9.030000,9.050000,1.888763,0
1989-01-01,9.020000,9.130000,9.000000,9.100000,1.920605,0
1989-02-01,9.100000,9.120000,8.950000,8.970000,1.899261,0
1989-03-01,8.960000,9.000000,8.860000,8.930000,1.906466,0
1989-04-01,8.970000,9.040000,8.930000,9.040000,1.943617,0
1989-05-01,9.000000,9.200000,8.980000,9.200000,1.992746,0
1989-06-01,9.200000,9.400000,9.200000,9.400000,2.051587,0
1989-07-01,9.400000,9.540000,9.400000,9.540000,2.097605,0
1989-08-01,9.580000,9.580000,9.310000,9.320000,2.063411,0
1989-09-01,9.360000,9.400000,9.300000,9.300000,2.073860,0
1989-10-01,9.310000,9.500000,9.310000,9.470000,2.126489,0
1989-11-01,9.470000,9.500000,9.420000,9.470000,2.139891,0
1989-12-01,9.490000,9.510000,9.430000,9.440000,2.149209,0
1990-01-01,9.430000,9.430000,9.200000,9.230000,2.123750,0
1990-02-01,9.240000,9.260000,9.150000,9.200000,2.124092,0
1990-03-01,9.170000,9.190000,9.110000,9.140000,2.133040,0
1990-04-01,9.140000,9.180000,8.990000,8.990000,2.113494,0
1990-05-01,8.990000,9.180000,8.980000,9.180000,2.174365,0
1990-06-01,9.250000,9.290000,9.200000,9.260000,2.209458,0
1990-07-01,9.260000,9.310000,9.200000,9.310000,2.237613,0
1990-08-01,9.340000,9.340000,9.040000,9.130000,2.210257,0
1990-09-01,9.110000,9.150000,9.060000,9.130000,2.226614,0
1990-10-01,9.170000,9.210000,9.090000,9.200000,2.260077,0
1990-11-01,9.230000,9.340000,9.220000,9.340000,2.311087,0
1990-12-01,9.360000,9.480000,9.360000,9.410000,2.344760,0
1991-01-01,9.460000,9.480000,9.360000,9.450000,2.371395,0
1991-02-01,9.510000,9.560000,9.460000,9.460000,2.390364,0
1991-03-01,9.430000,9.470000,9.370000,9.460000,2.406628,0
1991-04-01,9.450000,9.510000,9.430000,9.490000,2.431000,0
1991-05-01,9.500000,9.520000,9.440000,9.490000,2.447539,0
1991-06-01,9.460000,9.460000,9.370000,9.420000,2.445947,0
1991-07-01,9.410000,9.480000,9.380000,9.480000,2.478419,0
1991-08-01,9.470000,9.650000,9.470000,9.610000,2.529520,0
1991-09-01,9.620000,9.740000,9.610000,9.740000,2.580855,0
1991-10-01,9.740000,9.770000,9.670000,9.770000,2.605961,0
1991-11-01,9.770000,9.810000,9.740000,9.780000,2.625575,0
1991-12-01,9.800000,9.990000,9.800000,9.990000,2.699360,0
1992-01-01,9.960000,9.990000,9.780000,9.780000,2.666108,0
1992-02-01,9.760000,9.820000,9.700000,9.780000,2.686434,0
